Bin, X, CDF
0, 2.7700877292368696E-6, 0.0
1, 5.540175458473739E-6, 0.0
2, 8.310263187710608E-6, 0.0
3, 1.1080350916947478E-5, 0.0
4, 1.3850438646184348E-5, 0.0
5, 1.6620526375421217E-5, 0.0
6, 1.939061410465809E-5, 0.0
7, 2.2160701833894957E-5, 0.0
8, 2.4930789563131825E-5, 0.0
9, 2.7700877292368697E-5, 0.0
10, 3.0470965021605565E-5, 0.0
11, 3.3241052750842434E-5, 0.0
12, 3.60111404800793E-5, 0.0
13, 3.878122820931618E-5, 0.0
14, 4.1551315938553045E-5, 0.0
15, 4.4321403667789914E-5, 0.0
16, 4.709149139702678E-5, 0.0
17, 4.986157912626365E-5, 0.0
18, 5.2631666855500525E-5, 0.0
19, 5.5401754584737394E-5, 0.0
20, 5.817184231397426E-5, 0.0
21, 6.094193004321113E-5, 0.0
22, 6.3712017772448E-5, 0.0
23, 6.648210550168487E-5, 0.0
24, 6.925219323092174E-5, 0.0
25, 7.20222809601586E-5, 0.0
26, 7.479236868939549E-5, 0.0
27, 7.756245641863235E-5, 0.0
28, 8.033254414786922E-5, 0.0
29, 8.310263187710609E-5, 0.0
30, 8.587271960634296E-5, 0.0
31, 8.864280733557983E-5, 0.0
32, 9.14128950648167E-5, 0.0
33, 9.418298279405356E-5, 0.0
34, 9.695307052329043E-5, 0.0
35, 9.97231582525273E-5, 0.0
36, 1.0249324598176417E-4, 0.0
37, 1.0526333371100105E-4, 0.0
38, 1.0803342144023792E-4, 0.0
39, 1.1080350916947479E-4, 0.0
40, 1.1357359689871166E-4, 0.0
41, 1.1634368462794852E-4, 0.0
42, 1.1911377235718539E-4, 0.0
43, 1.2188386008642226E-4, 0.0
44, 1.2465394781565914E-4, 0.0
45, 1.27424035544896E-4, 0.0
46, 1.3019412327413288E-4, 0.0
47, 1.3296421100336973E-4, 0.0
48, 1.3573429873260662E-4, 0.0
49, 1.3850438646184347E-4, 0.0
50, 1.4127447419108035E-4, 0.0
51, 1.440445619203172E-4, 0.0
52, 1.468146496495541E-4, 0.0
53, 1.4958473737879097E-4, 0.0
54, 1.5235482510802783E-4, 0.0
55, 1.551249128372647E-4, 0.0
56, 1.5789500056650156E-4, 0.0
57, 1.6066508829573844E-4, 0.0
58, 1.634351760249753E-4, 0.0
59, 1.6620526375421218E-4, 0.0
60, 1.6897535148344904E-4, 0.0
61, 1.7174543921268592E-4, 0.0
62, 1.7451552694192277E-4, 0.0
63, 1.7728561467115965E-4, 0.0
64, 1.8005570240039654E-4, 0.0
65, 1.828257901296334E-4, 0.0
66, 1.8559587785887027E-4, 0.0
67, 1.8836596558810713E-4, 0.0
68, 1.91136053317344E-4, 0.0
69, 1.9390614104658086E-4, 0.0
70, 1.9667622877581775E-4, 0.0
71, 1.994463165050546E-4, 0.0
72, 2.0221640423429148E-4, 0.0
73, 2.0498649196352834E-4, 0.0
74, 2.0775657969276522E-4, 0.0
75, 2.105266674220021E-4, 0.0
76, 2.1329675515123896E-4, 0.0
77, 2.1606684288047584E-4, 0.0
78, 2.188369306097127E-4, 0.0
79, 2.2160701833894958E-4, 0.0
80, 2.2437710606818643E-4, 0.0
81, 2.271471937974233E-4, 0.0
82, 2.2991728152666017E-4, 0.0
83, 2.3268736925589705E-4, 0.0
84, 2.354574569851339E-4, 0.0
85, 2.3822754471437079E-4, 0.0
86, 2.4099763244360767E-4, 0.0
87, 2.4376772017284452E-4, 0.0
88, 2.465378079020814E-4, 0.0
89, 2.493078956313183E-4, 0.0
90, 2.520779833605551E-4, 0.0
91, 2.54848071089792E-4, 0.0
92, 2.576181588190289E-4, 0.0
93, 2.6038824654826576E-4, 0.0
94, 2.631583342775026E-4, 0.0
95, 2.6592842200673947E-4, 0.0
96, 2.6869850973597635E-4, 0.0
97, 2.7146859746521323E-4, 0.0
98, 2.742386851944501E-4, 0.0
99, 2.7700877292368694E-4, 0.0
100, 2.797788606529238E-4, 0.0
101, 2.825489483821607E-4, 0.0
102, 2.853190361113976E-4, 0.0
103, 2.880891238406344E-4, 0.0
104, 2.908592115698713E-4, 0.0
105, 2.936292992991082E-4, 0.0
106, 2.9639938702834506E-4, 0.0
107, 2.9916947475758194E-4, 0.0
108, 3.0193956248681877E-4, 0.0
109, 3.0470965021605565E-4, 0.0
110, 3.0747973794529253E-4, 0.0
111, 3.102498256745294E-4, 0.0
112, 3.1301991340376624E-4, 0.0
113, 3.157900011330031E-4, 0.0
114, 3.1856008886224E-4, 0.0
115, 3.213301765914769E-4, 0.0
116, 3.241002643207137E-4, 0.0
117, 3.268703520499506E-4, 0.0
118, 3.296404397791875E-4, 0.0
119, 3.3241052750842436E-4, 0.0
120, 3.3518061523766124E-4, 0.0
121, 3.3795070296689807E-4, 0.0
122, 3.4072079069613495E-4, 0.0
123, 3.4349087842537184E-4, 0.0
124, 3.462609661546087E-4, 0.0
125, 3.4903105388384555E-4, 0.0
126, 3.5180114161308243E-4, 0.0
127, 3.545712293423193E-4, 0.0
128, 3.573413170715562E-4, 0.0
129, 3.601114048007931E-4, 0.0
130, 3.628814925300299E-4, 0.0
131, 3.656515802592668E-4, 0.0
132, 3.6842166798850366E-4, 0.0
133, 3.7119175571774055E-4, 0.0
134, 3.739618434469774E-4, 0.0
135, 3.7673193117621426E-4, 0.0
136, 3.7950201890545114E-4, 0.0
137, 3.82272106634688E-4, 0.0
138, 3.850421943639249E-4, 0.0
139, 3.8781228209316173E-4, 0.0
140, 3.905823698223986E-4, 0.0
141, 3.933524575516355E-4, 0.0
142, 3.961225452808724E-4, 0.0
143, 3.988926330101092E-4, 0.0
144, 4.016627207393461E-4, 0.0
145, 4.0443280846858297E-4, 0.0
146, 4.0720289619781985E-4, 0.0
147, 4.099729839270567E-4, 0.0
148, 4.1274307165629356E-4, 0.0
149, 4.1551315938553044E-4, 0.0
150, 4.182832471147673E-4, 0.0
151, 4.210533348440042E-4, 0.0
152, 4.2382342257324103E-4, 0.0
153, 4.265935103024779E-4, 0.0
154, 4.293635980317148E-4, 0.0
155, 4.321336857609517E-4, 0.0
156, 4.349037734901885E-4, 0.0
157, 4.376738612194254E-4, 0.0
158, 4.4044394894866227E-4, 0.0
159, 4.4321403667789915E-4, 0.0
160, 4.4598412440713603E-4, 0.0
161, 4.4875421213637286E-4, 0.0
162, 4.5152429986560974E-4, 0.0
163, 4.542943875948466E-4, 0.0
164, 4.570644753240835E-4, 0.0
165, 4.5983456305332033E-4, 0.0
166, 4.626046507825572E-4, 0.0
167, 4.653747385117941E-4, 0.0
168, 4.68144826241031E-4, 0.0
169, 4.709149139702678E-4, 0.0
170, 4.736850016995047E-4, 0.0
171, 4.7645508942874157E-4, 0.0
172, 4.7922517715797845E-4, 0.0
173, 4.8199526488721533E-4, 0.0
174, 4.8476535261645216E-4, 0.0
175, 4.8753544034568904E-4, 0.0
176, 4.903055280749259E-4, 0.0
177, 4.930756158041628E-4, 0.0
178, 4.958457035333997E-4, 0.0
179, 4.986157912626366E-4, 0.0
180, 5.013858789918733E-4, 0.0
181, 5.041559667211102E-4, 0.0
182, 5.069260544503471E-4, 0.0
183, 5.09696142179584E-4, 0.0
184, 5.124662299088209E-4, 0.0
185, 5.152363176380578E-4, 0.0
186, 5.180064053672946E-4, 0.0
187, 5.207764930965315E-4, 0.0
188, 5.235465808257684E-4, 0.0
189, 5.263166685550052E-4, 0.0
190, 5.290867562842421E-4, 0.0
191, 5.318568440134789E-4, 0.0
192, 5.346269317427158E-4, 0.0
193, 5.373970194719527E-4, 0.0
194, 5.401671072011896E-4, 0.0
195, 5.429371949304265E-4, 0.0
196, 5.457072826596633E-4, 0.0
197, 5.484773703889002E-4, 3.6831055946373985E-5
198, 5.51247458118137E-4, 3.6831055946373985E-5
199, 5.540175458473739E-4, 3.6831055946373985E-5
200, 5.567876335766108E-4, 7.366211189274797E-5
201, 5.595577213058476E-4, 1.4732422378549594E-4
202, 5.623278090350845E-4, 1.4732422378549594E-4
203, 5.650978967643214E-4, 1.4732422378549594E-4
204, 5.678679844935583E-4, 1.841552797318699E-4
205, 5.706380722227952E-4, 1.841552797318699E-4
206, 5.734081599520321E-4, 1.841552797318699E-4
207, 5.761782476812688E-4, 1.841552797318699E-4
208, 5.789483354105057E-4, 2.946484475709919E-4
209, 5.817184231397426E-4, 3.3147950351736585E-4
210, 5.844885108689795E-4, 3.683105594637398E-4
211, 5.872585985982164E-4, 3.683105594637398E-4
212, 5.900286863274532E-4, 3.683105594637398E-4
213, 5.927987740566901E-4, 4.4197267135648777E-4
214, 5.95568861785927E-4, 4.4197267135648777E-4
215, 5.983389495151639E-4, 4.7880372730286174E-4
216, 6.011090372444007E-4, 4.7880372730286174E-4
217, 6.038791249736375E-4, 4.7880372730286174E-4
218, 6.066492127028744E-4, 4.7880372730286174E-4
219, 6.094193004321113E-4, 4.7880372730286174E-4
220, 6.121893881613482E-4, 5.156347832492357E-4
221, 6.149594758905851E-4, 5.156347832492357E-4
222, 6.17729563619822E-4, 5.892968951419837E-4
223, 6.204996513490588E-4, 6.629590070347316E-4
224, 6.232697390782957E-4, 6.997900629811056E-4
225, 6.260398268075325E-4, 7.366211189274796E-4
226, 6.288099145367694E-4, 7.734521748738537E-4
227, 6.315800022660063E-4, 8.102832308202277E-4
228, 6.343500899952431E-4, 8.102832308202277E-4
229, 6.3712017772448E-4, 8.102832308202277E-4
230, 6.398902654537169E-4, 9.207763986593497E-4
231, 6.426603531829538E-4, 9.576074546057237E-4
232, 6.454304409121907E-4, 0.0010312695664984716
233, 6.482005286414274E-4, 0.0011049316783912197
234, 6.509706163706643E-4, 0.0011417627343375937
235, 6.537407040999012E-4, 0.0011785937902839677
236, 6.565107918291381E-4, 0.0011785937902839677
237, 6.59280879558375E-4, 0.0012522559021767158
238, 6.620509672876118E-4, 0.0012890869581230898
239, 6.648210550168487E-4, 0.0012890869581230898
240, 6.675911427460856E-4, 0.0013259180140694638
241, 6.703612304753225E-4, 0.0013259180140694638
242, 6.731313182045593E-4, 0.0013259180140694638
243, 6.759014059337961E-4, 0.0013627490700158379
244, 6.78671493663033E-4, 0.0013627490700158379
245, 6.814415813922699E-4, 0.0013627490700158379
246, 6.842116691215068E-4, 0.001399580125962212
247, 6.869817568507437E-4, 0.00147324223785496
248, 6.897518445799806E-4, 0.001546904349747708
249, 6.925219323092174E-4, 0.001583735405694082
250, 6.952920200384543E-4, 0.001583735405694082
251, 6.980621077676911E-4, 0.001620566461640456
252, 7.00832195496928E-4, 0.00165739751758683
253, 7.036022832261649E-4, 0.00165739751758683
254, 7.063723709554017E-4, 0.0017310596294795781
255, 7.091424586846386E-4, 0.0017678906854259522
256, 7.119125464138755E-4, 0.0017678906854259522
257, 7.146826341431124E-4, 0.0017678906854259522
258, 7.174527218723493E-4, 0.0018047217413723262
259, 7.202228096015861E-4, 0.0018415527973187002
260, 7.229928973308229E-4, 0.0018415527973187002
261, 7.257629850600598E-4, 0.0018415527973187002
262, 7.285330727892967E-4, 0.0018783838532650742
263, 7.313031605185336E-4, 0.002062539132996944
264, 7.340732482477704E-4, 0.0022098633567824402
265, 7.368433359770073E-4, 0.00257817391624618
266, 7.396134237062442E-4, 0.002835991307870798
267, 7.423835114354811E-4, 0.0031674708113881636
268, 7.45153599164718E-4, 0.0033884571470664073
269, 7.479236868939547E-4, 0.003646274538691025
270, 7.506937746231916E-4, 0.003904091930315643
271, 7.534638623524285E-4, 0.004088247210047513
272, 7.562339500816654E-4, 0.004309233545725757
273, 7.590040378109023E-4, 0.004530219881404001
274, 7.617741255401392E-4, 0.0048248683289749935
275, 7.64544213269376E-4, 0.005009023608706863
276, 7.673143009986129E-4, 0.005266841000331481
277, 7.700843887278498E-4, 0.005450996280063351
278, 7.728544764570866E-4, 0.005671982615741595
279, 7.756245641863235E-4, 0.0058561378954734645
280, 7.783946519155603E-4, 0.006040293175205334
281, 7.811647396447972E-4, 0.006408603734669074
282, 7.839348273740341E-4, 0.006850576406025562
283, 7.86704915103271E-4, 0.007145224853596554
284, 7.894750028325079E-4, 0.00729254907738205
285, 7.922450905617448E-4, 0.007513535413060294
286, 7.950151782909815E-4, 0.007771352804684912
287, 7.977852660202184E-4, 0.008139663364148652
288, 8.005553537494553E-4, 0.008397480755773271
289, 8.033254414786922E-4, 0.00858163603550514
290, 8.06095529207929E-4, 0.008913115539022506
291, 8.088656169371659E-4, 0.009207763986593499
292, 8.116357046664028E-4, 0.009576074546057238
293, 8.144057923956397E-4, 0.009833891937681857
294, 8.171758801248766E-4, 0.01023903355309197
295, 8.199459678541134E-4, 0.010386357776877466
296, 8.227160555833502E-4, 0.010607344112555709
297, 8.254861433125871E-4, 0.010865161504180328
298, 8.28256231041824E-4, 0.011122978895804946
299, 8.310263187710609E-4, 0.011307134175536816
300, 8.337964065002978E-4, 0.011454458399322312
301, 8.365664942295346E-4, 0.011638613679054182
302, 8.393365819587715E-4, 0.0118964310706788
303, 8.421066696880084E-4, 0.01208058635041067
304, 8.448767574172452E-4, 0.012375234797981662
305, 8.476468451464821E-4, 0.01263305218960628
306, 8.504169328757189E-4, 0.012854038525284524
307, 8.531870206049558E-4, 0.01300136274907002
308, 8.559571083341927E-4, 0.013222349084748264
309, 8.587271960634296E-4, 0.013406504364480133
310, 8.614972837926665E-4, 0.013590659644212003
311, 8.642673715219034E-4, 0.013774814923943873
312, 8.670374592511402E-4, 0.014216787595300361
313, 8.69807546980377E-4, 0.01447460498692498
314, 8.725776347096139E-4, 0.014732422378549598
315, 8.753477224388508E-4, 0.014916577658281468
316, 8.781178101680877E-4, 0.01521122610585246
317, 8.808878978973245E-4, 0.015432212441530703
318, 8.836579856265614E-4, 0.01569002983315532
319, 8.864280733557983E-4, 0.01587418511288719
320, 8.891981610850352E-4, 0.016058340392619063
321, 8.919682488142721E-4, 0.016463482008029176
322, 8.947383365435088E-4, 0.01661080623181467
323, 8.975084242727457E-4, 0.017126441015063908
324, 9.002785120019826E-4, 0.01723693418290303
325, 9.030485997312195E-4, 0.01753158263047402
326, 9.058186874604564E-4, 0.017715737910205892
327, 9.085887751896932E-4, 0.017936724245884137
328, 9.113588629189301E-4, 0.01834186586129425
329, 9.14128950648167E-4, 0.018931162756436234
330, 9.168990383774039E-4, 0.019594121763470966
331, 9.196691261066407E-4, 0.020036094434827453
332, 9.224392138358775E-4, 0.020514898162130313
333, 9.252093015651144E-4, 0.02125151928105779
334, 9.279793892943513E-4, 0.021840816176199776
335, 9.307494770235882E-4, 0.022319619903502636
336, 9.335195647528251E-4, 0.023129903134322862
337, 9.36289652482062E-4, 0.023608706861625722
338, 9.390597402112988E-4, 0.024198003756767707
339, 9.418298279405356E-4, 0.024824131707856065
340, 9.445999156697725E-4, 0.025229273323266178
341, 9.473700033990094E-4, 0.025560752826783543
342, 9.501400911282463E-4, 0.025965894442193656
343, 9.529101788574831E-4, 0.026444698169496517
344, 9.5568026658672E-4, 0.026960332952745754
345, 9.584503543159569E-4, 0.02754962984788774
346, 9.612204420451938E-4, 0.027917940407351478
347, 9.639905297744307E-4, 0.028286250966815217
348, 9.667606175036674E-4, 0.028986041029796322
349, 9.695307052329043E-4, 0.029833155316562925
350, 9.723007929621412E-4, 0.030459283267651283
351, 9.750708806913781E-4, 0.031048580162793268
352, 9.77840968420615E-4, 0.03152738389009613
353, 9.806110561498519E-4, 0.031932525505506244
354, 9.833811438790887E-4, 0.03241132923280911
355, 9.861512316083256E-4, 0.03296379507200472
356, 9.889213193375625E-4, 0.03333210563146846
357, 9.916914070667994E-4, 0.03414238886228869
358, 9.944614947960363E-4, 0.03458436153364518
359, 9.972315825252731E-4, 0.03502633420500167
360, 0.00100000167025451, 0.03535781370851904
361, 0.0010027717579837467, 0.0358366174358219
362, 0.0010055418457129836, 0.03627859010717839
363, 0.0010083119334422205, 0.036831055946374
364, 0.0010110820211714573, 0.03753084600935511
365, 0.0010138521089006942, 0.0379728186807116
366, 0.001016622196629931, 0.03834112924017534
367, 0.001019392284359168, 0.038598946631799955
368, 0.0010221623720884049, 0.039261905638834686
369, 0.0010249324598176417, 0.0396670472542448
370, 0.0010277025475468786, 0.04007218886965492
371, 0.0010304726352761155, 0.04044049942911866
372, 0.0010332427230053524, 0.04117712054804614
373, 0.0010360128107345893, 0.0418032484991345
374, 0.0010387828984638262, 0.04235571433833011
375, 0.001041552986193063, 0.04268719384184748
376, 0.0010443230739223, 0.04342381496077496
377, 0.0010470931616515368, 0.04397628079997057
378, 0.0010498632493807737, 0.04456557769511255
379, 0.0010526333371100103, 0.045339029869986405
380, 0.0010554034248392472, 0.04581783359728927
381, 0.0010581735125684841, 0.04637029943648488
382, 0.001060943600297721, 0.04681227210784137
383, 0.0010637136880269579, 0.04732790689109061
384, 0.0010664837757561948, 0.04758572428271522
385, 0.0010692538634854316, 0.04817502117785721
386, 0.0010720239512146685, 0.04894847335273106
387, 0.0010747940389439054, 0.049464108135980296
388, 0.0010775641266731423, 0.049906080807336786
389, 0.0010803342144023792, 0.0503112224227469
390, 0.001083104302131616, 0.0511583367095135
391, 0.001085874389860853, 0.05171080254870911
392, 0.0010886444775900898, 0.052373761555743845
393, 0.0010914145653193267, 0.05296305845088583
394, 0.0010941846530485636, 0.05406799012927705
395, 0.0010969547407778005, 0.05517292180766827
396, 0.0010997248285070373, 0.0559832050384885
397, 0.001102494916236274, 0.05716179882877247
398, 0.0011052650039655109, 0.05793525100364632
399, 0.0011080350916947478, 0.059077013737983915
400, 0.0011108051794239846, 0.060034621192589635
401, 0.0011135752671532215, 0.061323708150712725
402, 0.0011163453548824584, 0.0620603292696402
403, 0.0011191154426116953, 0.06283378144451406
404, 0.0011218855303409322, 0.06412286840263715
405, 0.001124655618070169, 0.06482265846561826
406, 0.001127425705799406, 0.06574343486427761
407, 0.0011301957935286428, 0.06659054915104422
408, 0.0011329658812578797, 0.06740083238186445
409, 0.0011357359689871166, 0.06857942617214842
410, 0.0011385060567163535, 0.06942654045891503
411, 0.0011412761444455904, 0.07038414791352075
412, 0.0011440462321748272, 0.07152591064785835
413, 0.0011468163199040641, 0.07255718021435682
414, 0.0011495864076333008, 0.07340429450112343
415, 0.0011523564953625377, 0.07417774667599729
416, 0.0011551265830917745, 0.07520901624249576
417, 0.0011578966708210114, 0.07579831313763774
418, 0.0011606667585502483, 0.07694007587197534
419, 0.0011634368462794852, 0.07804500755036656
420, 0.001166206934008722, 0.07885529078118679
421, 0.001168977021737959, 0.07988656034768526
422, 0.0011717471094671958, 0.08113881624986198
423, 0.0011745171971964327, 0.08183860631284309
424, 0.0011772872849256696, 0.08286987587934157
425, 0.0011800573726549065, 0.08386431438989367
426, 0.0011828274603841434, 0.08507973923612401
427, 0.0011855975481133802, 0.08603734669072974
428, 0.0011883676358426171, 0.08688446097749634
429, 0.001191137723571854, 0.0878052373761557
430, 0.0011939078113010909, 0.0886523516629223
431, 0.0011966778990303278, 0.08960995911752803
432, 0.0011994479867595644, 0.09075172185186563
433, 0.0012022180744888013, 0.09148834297079311
434, 0.0012049881622180382, 0.09255644359323796
435, 0.001207758249947275, 0.09351405104784369
436, 0.001210528337676512, 0.09461898272623491
437, 0.0012132984254057488, 0.09539243490110877
438, 0.0012160685131349857, 0.09627638024382175
439, 0.0012188386008642226, 0.09704983241869561
440, 0.0012216086885934595, 0.09786011564951584
441, 0.0012243787763226964, 0.09889138521601432
442, 0.0012271488640519333, 0.09992265478251279
443, 0.0012299189517811701, 0.1011749106846895
444, 0.001232689039510407, 0.10216934919524161
445, 0.001235459127239644, 0.10334794298552558
446, 0.0012382292149688808, 0.10408456410445306
447, 0.0012409993026981177, 0.10533682000662978
448, 0.0012437693904273545, 0.10633125851718188
449, 0.0012465394781565914, 0.10717837280394849
450, 0.001249309565885828, 0.10817281131450059
451, 0.001252079653615065, 0.10913041876910631
452, 0.0012548497413443019, 0.10994070199992655
453, 0.0012576198290735387, 0.11097197156642502
454, 0.0012603899168027756, 0.111855916909138
455, 0.0012631600045320125, 0.11259253802806549
456, 0.0012659300922612494, 0.11362380759456396
457, 0.0012687001799904863, 0.1142867666015987
458, 0.0012714702677197231, 0.11509704983241893
459, 0.00127424035544896, 0.11634930573459565
460, 0.001277010443178197, 0.1174174063570405
461, 0.0012797805309074338, 0.1182645206438071
462, 0.0012825506186366707, 0.11955360760193019
463, 0.0012853207063659076, 0.12047438400058955
464, 0.0012880907940951444, 0.12161614673492714
465, 0.0012908608818243813, 0.12261058524547924
466, 0.0012936309695536182, 0.12367868586792409
467, 0.0012964010572828549, 0.1252255902176718
468, 0.0012991711450120918, 0.126330521896063
469, 0.0013019412327413286, 0.12773010202202523
