Bin, X, Count
0, 6.627571624078121E-7, 5844.0
1, 1.3255143248156243E-6, 1.0
2, 1.9882714872234364E-6, 2.0
3, 2.6510286496312485E-6, 1.0
4, 3.3137858120390606E-6, 0.0
5, 3.976542974446873E-6, 2.0
6, 4.6393001368546845E-6, 1.0
7, 5.302057299262497E-6, 1.0
8, 5.9648144616703096E-6, 0.0
9, 6.627571624078121E-6, 1.0
10, 7.290328786485933E-6, 2.0
11, 7.953085948893746E-6, 0.0
12, 8.615843111301558E-6, 0.0
13, 9.278600273709369E-6, 3.0
14, 9.941357436117181E-6, 3.0
15, 1.0604114598524994E-5, 0.0
16, 1.1266871760932807E-5, 3.0
17, 1.1929628923340619E-5, 4.0
18, 1.259238608574843E-5, 4.0
19, 1.3255143248156243E-5, 2.0
20, 1.3917900410564055E-5, 0.0
21, 1.4580657572971866E-5, 5.0
22, 1.5243414735379679E-5, 0.0
23, 1.590617189778749E-5, 2.0
24, 1.6568929060195304E-5, 0.0
25, 1.7231686222603116E-5, 1.0
26, 1.789444338501093E-5, 2.0
27, 1.8557200547418738E-5, 3.0
28, 1.921995770982655E-5, 1.0
29, 1.9882714872234363E-5, 2.0
30, 2.0545472034642176E-5, 0.0
31, 2.1208229197049988E-5, 1.0
32, 2.18709863594578E-5, 1.0
33, 2.2533743521865613E-5, 2.0
34, 2.3196500684273426E-5, 4.0
35, 2.3859257846681238E-5, 1.0
36, 2.4522015009089047E-5, 0.0
37, 2.518477217149686E-5, 1.0
38, 2.5847529333904673E-5, 1.0
39, 2.6510286496312485E-5, 3.0
40, 2.7173043658720298E-5, 1.0
41, 2.783580082112811E-5, 3.0
42, 2.8498557983535923E-5, 2.0
43, 2.9161315145943732E-5, 1.0
44, 2.9824072308351544E-5, 2.0
45, 3.0486829470759357E-5, 2.0
46, 3.114958663316717E-5, 1.0
47, 3.181234379557498E-5, 0.0
48, 3.2475100957982795E-5, 1.0
49, 3.313785812039061E-5, 2.0
50, 3.380061528279842E-5, 0.0
51, 3.446337244520623E-5, 1.0
52, 3.5126129607614045E-5, 0.0
53, 3.578888677002186E-5, 1.0
54, 3.645164393242967E-5, 1.0
55, 3.7114401094837476E-5, 0.0
56, 3.777715825724529E-5, 2.0
57, 3.84399154196531E-5, 0.0
58, 3.9102672582060913E-5, 3.0
59, 3.9765429744468726E-5, 0.0
60, 4.042818690687654E-5, 1.0
61, 4.109094406928435E-5, 0.0
62, 4.1753701231692164E-5, 1.0
63, 4.2416458394099976E-5, 1.0
64, 4.307921555650779E-5, 2.0
65, 4.37419727189156E-5, 1.0
66, 4.4404729881323414E-5, 1.0
67, 4.5067487043731226E-5, 2.0
68, 4.573024420613904E-5, 1.0
69, 4.639300136854685E-5, 1.0
70, 4.7055758530954664E-5, 3.0
71, 4.7718515693362477E-5, 2.0
72, 4.838127285577028E-5, 2.0
73, 4.9044030018178095E-5, 3.0
74, 4.970678718058591E-5, 2.0
75, 5.036954434299372E-5, 3.0
76, 5.103230150540153E-5, 1.0
77, 5.1695058667809345E-5, 0.0
78, 5.235781583021716E-5, 1.0
79, 5.302057299262497E-5, 7.0
80, 5.368333015503278E-5, 2.0
81, 5.4346087317440595E-5, 2.0
82, 5.500884447984841E-5, 4.0
83, 5.567160164225622E-5, 1.0
84, 5.633435880466403E-5, 2.0
85, 5.6997115967071846E-5, 0.0
86, 5.765987312947966E-5, 1.0
87, 5.8322630291887464E-5, 1.0
88, 5.8985387454295276E-5, 0.0
89, 5.964814461670309E-5, 2.0
90, 6.03109017791109E-5, 0.0
91, 6.0973658941518714E-5, 0.0
92, 6.163641610392653E-5, 4.0
93, 6.229917326633434E-5, 1.0
94, 6.296193042874216E-5, 1.0
95, 6.362468759114996E-5, 2.0
96, 6.428744475355777E-5, 0.0
97, 6.495020191596559E-5, 1.0
98, 6.56129590783734E-5, 0.0
99, 6.627571624078121E-5, 1.0
100, 6.693847340318902E-5, 1.0
101, 6.760123056559684E-5, 0.0
102, 6.826398772800465E-5, 1.0
103, 6.892674489041246E-5, 2.0
104, 6.958950205282027E-5, 2.0
105, 7.025225921522809E-5, 1.0
106, 7.09150163776359E-5, 0.0
107, 7.157777354004371E-5, 4.0
108, 7.224053070245152E-5, 1.0
109, 7.290328786485934E-5, 1.0
110, 7.356604502726715E-5, 1.0
